Race,Elevation,FinishTime,Gender,Finishers2015
SF,1100,2:26:22,M,6071
NYC,953,2:10:34,M,49595
Boston,985,2:09:17,M,26598
Chicago,461,2:09:25,M,37443
Big Sur (CA),1954,2:30:48,M,3430
Seattle,1193,2:38:15,M,1719
Rock-Roll Seattle,972,2:26:13,M,2037
Philadelphia,845,2:17:43,M,9161
Marine Corps (DC),896,2:24:24,M,23185
LA,1125,2:10:36,M,21924
Honolulu,537,2:11:43,M,21553
Disney World (FL),257,2:18:06,M,20093
Twin Cities (MN),838,2:11:16,M,8545
Houston,418,2:08:03,M,7004
Portland (OR),963,2:28:29,M,5716
CIM (CA),796,2:12:11,M,5642
Rock-Roll Las Vegas,448,2:21:47,M,2452
Oakland,935,2:25:14,M,682
Napa,581,2:23:06,M,1888
Santa Rosa,470,2:26:46,M,1440
Mayors (AK),724,2:32:39,M,777
SF,1100,2:49:42,F,6071
NYC,953,2:24:25,F,49595
Boston,985,2:24:55,F,26598
Chicago,461,2:23:33,F,37443
Big Sur (CA),1954,2:57:02,F,3430
Seattle,1193,2:58:39,F,1719
Rock-Roll Seattle,972,2:54:53,F,2037
Philadelphia,845,2:40:04,F,9161
Marine Corps (DC),896,2:45:55,F,23185
LA,1125,2:34:10,F,21924
Honolulu,537,2:28:34,F,21553
Disney World (FL),257,2:50:20,F,20093
Twin Cities (MN),838,2:31:40,F,8545
Houston,418,2:23:23,F,7004
Portland (OR),963,2:51:23,F,5716
CIM (CA),796,2:31:50,F,5642
Rock-Roll Las Vegas,448,3:08:18,F,2452
Oakland,935,2:56:02,F,682
Napa,581,2:45:45,F,1888
Santa Rosa,470,2:45:27,F,1440
Mayors (AK),724,3:14:37,F,777